# Vmag, logL, prob
6.3,1.77,100.0
6.39,1.85,100.0
6.44,1.85,100.0
6.59,1.76,100.0
6.61,1.72,35.0
6.61,1.72,47.0
6.61,1.72,17.0
6.67,1.62,100.0
6.78,1.57,100.0
6.78,1.58,100.0
6.85,1.55,100.0
6.9,1.64,100.0
7.32,1.36,100.0
7.45,1.31,100.0
7.54,1.27,100.0
7.54,1.28,43.0
7.54,1.28,27.0
7.54,1.28,30.0
7.67,1.22,43.0
7.67,1.22,24.0
7.67,1.22,33.0
7.7,1.21,43.0
7.7,1.21,24.0
7.7,1.21,33.0
7.73,1.2,100.0
7.96,1.11,100.0
8.02,1.08,100.0
8.18,1.01,100.0
8.31,0.96,100.0
8.33,0.96,100.0
8.5,0.89,100.0
8.71,0.8,100.0
8.81,0.76,100.0
8.89,0.73,100.0
9.0,0.69,100.0
9.04,0.67,100.0
9.23,0.6,100.0
9.31,0.58,62.0
9.31,0.58,9.0
9.31,0.58,30.0
9.37,0.55,100.0
9.39,0.54,100.0
9.42,0.53,100.0
9.55,0.48,100.0
9.59,0.46,100.0
9.67,0.43,100.0
9.68,0.42,100.0
9.77,0.39,100.0
9.79,0.39,100.0
9.83,0.37,100.0
9.85,0.36,100.0
9.88,0.35,100.0
9.89,0.35,100.0
9.96,0.33,66.0
9.96,0.33,8.0
9.96,0.33,26.0
10.08,0.27,100.0
10.11,0.26,100.0
10.11,0.26,100.0
10.23,0.21,100.0
10.24,0.22,100.0
10.3,0.19,100.0
10.3,0.19,100.0
10.31,0.2,77.0
10.31,0.2,6.0
10.31,0.2,18.0
10.41,0.15,100.0
10.47,0.13,100.0
10.66,0.05,100.0
10.69,0.04,100.0
10.7,0.05,100.0
10.72,0.03,100.0
10.87,-0.02,100.0
10.93,-0.05,100.0
11.01,-0.05,100.0
11.02,-0.07,100.0
11.03,-0.09,100.0
11.05,-0.1,100.0
11.34,-0.2,100.0
11.42,-0.26,0.0
11.5,-0.26,0.0
11.59,-0.24,100.0
11.63,-0.3,100.0
11.71,-0.33,100.0
11.78,-0.36,0.0
11.87,-0.31,100.0
11.98,-0.43,0.0
12.06,-0.45,100.0
12.09,-0.46,100.0
12.12,-0.41,100.0
12.17,-0.48,100.0
12.2,-0.49,100.0
12.36,-0.55,0.0
12.43,-0.56,100.0
12.53,-0.6,100.0
12.63,-0.62,100.0
12.64,-0.61,100.0
12.68,-0.61,100.0
12.74,-0.66,100.0
12.83,-0.7,0.0
13.13,-0.78,100.0
13.2,-0.8,100.0
13.7,-1.11,0.0
13.97,-0.94,100.0
